BTC,NYSE,NASDAQ,LSE,BTC_Volume,NYSE_Volume,NASDAQ_Volume,LSE_Volume
6673,12664,7688,4497,43139,25902,17186,7
6741,12776,7756,4500,37181,30700,18444,8
6329,12814,7759,4500,40524,30801,17352,9
6394,12681,7716,4494,36448,29861,17684,6
6228,12761,7823,4515,37701,28342,19308,8
6238,12769,7825,4520,38054,26197,17275,5
6741,12748,7805,4488,47257,28198,17393,4
7321,12779,7855,4500,59619,30649,17522,5
7370,12823,7854,4548,61034,31115,18811,8
7466,12786,7825,4568,51116,32783,18863,12
7354,12789,7820,4541,49368,32432,17965,4
7711,12794,7841,4536,51324,29284,16682,3
8424,12847,7840,4550,72776,34304,20218,40
8181,12933,7932,4556,58454,35844,19438,7
7951,12953,7852,4521,48990,36672,22893,7
8165,12921,7737,4492,51958,34343,21934,5
8180,12903,7630,4406,55514,32611,21541,6
7780,12963,7671,4397,52875,39068,22086,9
7624,12902,7707,4357,47976,35013,22289,9
7567,12898,7802,4497,42141,35013,21154,36
7434,12953,7812,4489,46271,30436,20358,17
6951,12964,7859,4468,39259,28790,22453,10
6753,12999,7883,4539,46828,31854,22064,18
6305,12987,7888,4510,50644,29780,20981,9
6568,12956,7891,4502,42670,30661,20481,5
6184,12843,7839,4481,45286,32655,21075,5
6297,12763,7819,4490,40839,31736,19341,6
6199,12835,7870,4438,53017,29865,19388,4
6308,12723,7774,4391,48954,36566,22941,5
6334,12841,7806,4398,43284,32320,19914,3
6580,12908,7816,4408,49929,30376,18507,4
6308,12965,7821,4423,36651,27571,17095,3
6488,12996,7859,4404,33771,31740,17888,3
6376,12990,7889,4447,46681,27012,16692,7
6534,12933,7878,4490,34261,27244,18886,13
6719,12999,7945,4502,40978,26030,18929,4
6884,13102,8017,4597,40190,28650,23337,6
7096,13084,8030,4597,46599,26877,19802,6
7047,13132,8109,4634,41458,28055,19098,6
6978,13039,8088,4648,44632,28104,20227,5
7037,13016,8109,4624,44956,28872,19069,9
7361,12969,8091,4681,42736,30874,22387,10
6792,12968,7995,4662,58004,32487,26028,7
6529,12938,7922,4663,55234,31442,23753,13
6467,12911,7902,4644,42646,29765,21589,7
6329,12928,7924,4726,37141,27511,20554,8
6321,12952,7972,4738,38499,29045,23450,7
6351,12990,7954,4794,40642,33412,23723,8
6517,13034,8013,4748,42109,32740,23329,7
6512,13050,8010,4790,40762,31794,20693,6
6281,13031,7895,4751,39107,29679,23036,9
6371,13091,7956,4758,41800,30911,23282,8
6398,13121,7950,4762,44313,33024,21677,18
6519,13225,8028,4747,43481,34065,23065,111
6734,13236,7986,4770,65319,56524,37298,74
6595,13162,7993,4663,41773,33920,24332,12
6446,13160,8007,4584,47261,33308,23286,25
6495,13101,7990,4585,44373,34175,23423,12
6676,13105,8041,4600,46068,31013,20739,10
6644,13082,8046,4586,50144,34616,23421,9
6589,13125,8037,4585,40009,33758,22995,7
6556,13106,7999,4519,39792,34326,24168,12
6502,13118,8025,4564,38873,36255,30956,6
6576,13042,7879,4521,38384,35103,33026,5
6622,12991,7788,4512,36715,33408,26993,7
6652,13000,7735,4430,39794,33818,22593,7
6642,12960,7738,4356,35808,35316,24664,9
6585,12622,7422,4160,37876,45542,31116,16
6256,12349,7329,4077,51816,49140,31545,30
6274,12439,7496,4097,37835,40240,26742,12
6596,12425,7430,4092,73707,33271,21670,12
6596,12645,7645,4197,40748,34602,26397,14
6544,12613,7642,4275,40884,33470,23850,17
6476,12445,7485,4286,39240,36393,25679,20
6465,12457,7449,4391,35788,35939,25477,18
6487,12374,7468,4355,36728,33312,23010,18
6475,12287,7437,4220,37161,43737,27520,13
6495,11969,7108,4235,34246,47386,29595,13
6476,12118,7318,4311,32305,46639,27880,11
6474,11976,7167,4236,33060,48043,29715,8
6332,11942,7050,4272,41999,47012,27119,6
6334,12129,7161,4260,37811,51256,26992,4
6317,12208,7305,4315,41912,51333,29188,14
6377,12356,7434,4279,37894,47302,27287,8
6388,12321,7356,4287,42348,42612,28996,8
6419,12424,7328,4260,41748,36509,21863,5
6461,12480,7375,4251,47000,35438,23009,4
6530,12679,7570,4256,49412,39290,26874,4
6453,12622,7530,4184,46652,36735,24751,9
6385,12537,7406,4213,43468,40290,24267,6
6371,12343,7200,4165,42957,37015,23053,7
6359,12328,7200,4209,45038,41128,23612,5
5738,12275,7136,4128,73989,44490,25662,8
5648,12361,7259,4099,70321,42049,25235,8
5575,12400,7247,4097,52793,39969,24669,13
4871,12280,7028,4056,70395,38069,23814,9
4451,12048,6908,3946,84282,43708,26722,14
4602,12123,6972,4000,61201,32374,18678,13
4347,12036,6938,4030,48714,16516,9589,16
3779,12181,7081,4058,64769,35235,20369,9
3820,12188,7082,4067,59987,34943,20767,8
4257,12417,7291,4049,72802,39845,24131,5
4278,12389,7273,4083,65033,35992,20181,17
4017,12457,7330,4033,60480,46683,25479,9
3894,12577,7441,4080,50895,42215,26431,8
3956,12221,7158,4039,50280,45157,26557,9
3521,12144,7188,3870,58783,51804,28576,8
3419,11941,6969,3873,68356,42422,25046,5
3502,11889,7020,3867,50209,41628,23802,9
3424,11860,7031,3930,46967,39634,22868,13
3486,11943,7098,4036,41393,40293,24270,10
3313,11936,7070,4030,43433,39783,21622,21
3242,11755,6910,4040,43727,40643,22183,7
3545,11532,6753,4020,54092,46614,26974,10
3696,11502,6783,4013,59113,45191,26232,13
3745,11371,6636,4030,68106,51528,29191,24
4134,11222,6528,4050,89271,56197,32824,14
3896,11036,6332,4067,72060,76578,45716,14
4078,10769,6192,3908,72409,26136,16474,1
3857,11204,6554,3983,53265,42497,25728,7
3654,11285,6579,3983,51302,41390,24491,7
3923,11290,6584,4064,56315,37284,22162,5
3742,11374,6635,4062,46618,34619,21093,2
3943,11383,6665,4124,52448,37331,22618,9
3836,11190,6463,4068,45302,38588,26315,13
3857,11533,6738,4226,48479,42341,25961,6
4025,11605,6823,4206,52286,41331,25234,9
4030,11716,6897,4165,53065,41200,24073,12
4035,11778,6957,4198,51159,40887,24345,11
3678,11839,6986,4270,68741,37213,21901,7
3687,11848,6971,4323,55387,34474,20743,18
3706,11799,6905,4390,56513,36893,19607,12
3630,11868,7023,4469,55371,36011,20660,13
3655,11907,7034,4414,53944,38821,21637,25
3678,11994,7084,4404,54644,38024,21492,10
3657,12151,7157,4454,50029,40090,24599,15
3604,11999,7020,4450,53136,39239,23976,4
3585,12020,7025,4420,54337,33587,22880,9
3600,12029,7073,4413,52628,34492,24191,5
3599,12127,7164,4420,52658,38210,24465,9
3470,12065,7085,4445,69089,36308,24487,6
3448,12090,7028,4530,58971,35180,21063,10
3486,12222,7183,4590,59551,38832,25694,8
3457,12299,7281,4579,58311,49538,29474,10
3487,12329,7263,4580,54229,37824,23988,4
3459,12381,7347,4625,53327,33694,21060,5
3466,12428,7402,4653,52275,35976,22849,6
3413,12398,7375,4650,54821,34865,21794,4
3399,12295,7288,4591,50049,41140,23107,5
3666,12292,7298,4576,77356,36495,21025,6
3648,12297,7307,4639,62770,33953,19084,7
3653,12438,7414,4579,64803,38430,21401,6
3632,12474,7420,4638,64389,36849,21038,5
3616,12440,7426,4631,62710,38453,21175,6
3620,12603,7472,4685,60919,36486,22636,7
3947,12628,7486,4603,99336,35352,21241,5
3999,12673,7489,4508,86933,39048,22026,8
3954,12621,7459,4509,77751,35982,21446,8
4005,12694,7527,4510,78265,34293,24285,7
3882,12700,7554,4508,93187,38602,23994,4
3854,12686,7549,4490,79312,36762,23057,6
3851,12689,7554,4489,83013,37717,24307,12
3854,12644,7532,4507,83997,44457,26767,9
3859,12700,7595,4695,76612,39949,24909,14
3761,12637,7577,4717,90291,39497,25820,12
3896,12624,7576,4735,101741,36313,21666,7
3903,12538,7505,4705,91752,38001,22565,6
3911,12443,7421,4632,95841,39321,24626,5
3901,12415,7408,4635,106386,34243,22609,3
3905,12561,7558,4644,101259,37648,22484,3
3909,12582,7591,4669,98098,34323,21716,5
3906,12674,7643,4666,94691,37822,23792,4
3924,12660,7630,4670,104807,35056,21989,7
3960,12715,7688,4750,93942,59697,34518,9
4032,12781,7714,4781,96469,36207,23021,4
4071,12760,7723,4806,93449,36507,24579,7
4087,12700,7728,4711,101759,37791,24642,11
4029,12782,7838,4642,108312,36126,25028,20
4023,12539,7642,4594,92529,42537,25047,6
3963,12535,7637,4538,103598,34061,21624,5
3985,12641,7691,4601,107076,32885,20803,7
4087,12591,7643,4650,108971,34224,22440,6
4069,12632,7669,4706,93539,31854,19221,6
4098,12696,7729,4751,109186,37525,23117,6
4158,12836,7828,4754,101577,35600,22300,6
4879,12819,7848,4806,213150,32672,21232,6
4973,12833,7895,4930,228998,35700,25096,13
4922,12868,7891,4929,182518,30387,21526,7
5036,12927,7938,4944,168373,31559,21570,7
5289,12943,7953,4865,171541,30564,20755,4
5204,12849,7909,4787,147221,30324,20788,12
5324,12887,7964,4770,155045,30922,20122,7
5064,12887,7947,4840,165556,29706,19694,4
5089,12969,7984,4858,136752,37260,19689,3
5067,12956,7976,4863,122901,31145,18277,5
5235,12952,8000,4936,116186,34031,21027,4
5251,12907,7996,4945,124384,36481,23173,4
5298,12922,7998,4964,132564,35071,21246,3
5399,12914,8015,4997,146016,30101,17909,5
5572,12993,8120,4997,158673,36744,20994,5
5464,12951,8102,4985,170480,34684,20433,4
5210,12912,8118,5040,153302,34400,20733,7
5279,12991,8146,5082,168121,32643,19825,5
5247,13008,8161,5108,137354,31503,17818,4
5350,13060,8095,5014,138789,39397,21318,14
5402,12946,8049,5186,136795,36693,22735,7
5505,12929,8036,5100,146444,38022,22115,6
5768,13037,8164,5116,187207,33571,20810,4
5746,12976,8123,5112,157371,32032,19796,5
5829,12778,7963,5112,180264,37930,23976,5
5982,12766,7943,5142,153206,35431,22146,19
6174,12731,7910,5076,167846,36590,25495,7
6378,12788,7916,5072,194198,35667,24214,4
7814,12526,7647,5050,286776,39002,24848,4
7994,12620,7734,5138,320314,33548,21031,5
8205,12652,7822,5224,283441,31409,20140,6
7884,12738,7898,5284,331671,33384,21687,5
7343,12657,7816,5288,300666,33160,21763,8
7978,12616,7702,5248,238434,32937,21307,10
7963,12720,7785,5270,251272,32230,20001,6
7680,12671,7750,5292,247194,31940,18846,13
7881,12525,7628,5210,244571,38993,22705,7
7987,12581,7637,5230,259191,28892,16852,9
8719,12465,7607,5224,242269,41469,23784,14
8659,12386,7547,5146,234734,37011,22821,6
8319,12393,7567,5252,292465,32760,18751,4
8574,12264,7453,5284,253651,39826,22394,9
8208,12341,7333,5302,220045,39523,25806,12
7707,12560,7527,5300,246097,38141,23741,9
7824,12614,7575,5334,217609,35707,21392,6
7822,12675,7615,5358,194746,34451,20934,4
8043,12765,7742,5412,191414,32443,20741,11
8000,12802,7823,5464,186892,32098,20423,2
7927,12813,7822,5448,171072,35510,21211,13
8145,12784,7792,5408,190344,30398,19789,5
8230,12827,7837,5410,186694,31006,18483,3
8693,12787,7796,5446,198311,29928,18083,5
9320,12775,7845,5454,155629,28284,19505,4
9081,12907,7953,5462,158482,34415,22505,7
9273,12954,7987,5480,155468,33002,20275,5
9527,13081,8051,5530,178468,39430,21082,6
10144,13047,8031,5500,206240,50035,29095,16
11011,13019,8005,5588,192716,31369,20734,8
11790,12936,7884,5584,248796,35794,21325,11
13016,12912,7909,5510,451057,35113,21227,4
11182,12965,7967,5450,399774,31625,20839,7
12407,13049,8006,5486,350877,54226,41014,7
10583,13127,8091,5586,293785,35248,22190,5
10801,13152,8109,5676,310158,32244,19565,6
11961,13239,8170,5762,307964,19635,15482,5
10978,13210,8161,5656,238384,24346,16907,5
12285,13147,8098,5692,234825,29223,19571,4
12573,13136,8141,5678,281679,30333,18714,4
12156,13173,8202,5668,336275,31578,20666,4
11358,13198,8196,5678,285953,31557,19706,12
11815,13234,8244,5694,235346,29841,18359,3
10895,13233,8258,5664,253840,28761,17907,4
9477,13195,8222,5754,241511,32970,19470,4
9693,13119,8185,5778,245699,31856,18871,5
10666,13168,8207,5770,251870,33698,20637,4
10530,13111,8146,5752,207274,32858,18930,4
10343,13109,8204,5716,163344,30162,18604,3
9900,13197,8251,5638,178519,33338,18450,12
9811,13234,8321,5628,173987,34332,19536,6
9911,13169,8238,5626,158219,36570,20580,6
9870,13235,8330,5672,144957,32601,19751,2
9519,13222,8293,6542,137914,32244,18829,18
9607,13187,8273,6504,138298,36327,18936,17
10085,13066,8175,6626,166315,46263,26792,14
10399,12920,8111,7058,171653,47938,28154,20
10518,12839,8004,6814,174890,38828,22625,18
11805,12497,7726,6606,238759,45428,26617,8
11478,12628,7833,6598,236351,41566,22176,10
11941,12632,7862,6790,221949,45127,24701,9
11966,12828,8039,6810,194815,41185,24429,14
11862,12748,7959,6840,183399,33568,22211,6
11382,12586,7863,6790,136471,33285,20689,5
10895,12724,8016,6748,166815,38571,23535,6
10051,12368,7773,6728,199908,43251,25436,7
10311,12409,7766,6722,228991,40417,21908,5
10374,12580,7895,6852,202282,35240,20187,7
10916,12687,8002,6928,160382,32210,19464,5
10763,12599,7948,6880,150530,30677,17507,8
10138,12697,8020,6900,194730,30165,17214,6
10131,12688,7991,6838,170975,28936,17807,6
10407,12416,7751,6832,156270,39425,22143,2
10370,12519,7853,6840,184386,28597,16919,8
10185,12474,7826,6840,147626,35374,19149,8
9754,12559,7856,6880,176037,31024,16634,5
9510,12704,7973,6970,170458,31771,17037,4
9598,12736,7962,6954,135952,30099,16681,6
10623,12663,7874,7034,193849,34278,19387,5
10594,12796,7976,7136,167426,31679,18937,7
10575,12917,8116,7208,145512,39026,21087,7
10353,12933,8103,7322,195365,32093,18787,6
10334,12960,8087,7080,175959,40311,21866,11
10115,12993,8084,6804,149068,43930,23660,23
10178,13082,8169,7206,154280,39343,23226,45
10410,13116,8194,7252,153235,37969,22281,18
10360,13124,8176,7514,141098,35570,19845,20
10276,13107,8153,7404,151601,42858,18765,11
10241,13131,8186,7350,153046,36732,18573,6
10198,13119,8177,7256,161692,34588,20455,7
10266,13111,8182,7246,199376,32656,18184,6
10181,13093,8117,7250,147341,61034,33632,15
9729,13085,8112,7306,151449,31872,17817,15
8620,12992,7993,7370,250028,38728,23109,4
8486,13037,8077,7254,217447,33312,20220,6
8118,13028,8030,7350,192582,30849,18863,15
8251,12971,7939,7360,164089,32464,20412,6
8293,13004,7999,7308,171154,32491,18090,5
8343,12835,7908,7256,153053,35607,22505,5
8393,12608,7785,7008,131257,39141,25036,8
8259,12685,7872,7168,136688,35151,21572,10
8205,12831,7982,7382,131394,30056,17480,9
8245,12777,7956,7452,180097,29590,17595,7
8228,12590,7823,7020,155922,33707,19437,22
8595,12691,7903,7248,193849,27353,15635,8
8586,12766,7950,7288,176186,32344,17934,22
8321,12926,8057,7300,196043,35813,21847,6
8374,12896,8048,7298,151513,25592,14237,3
8205,13006,8148,7208,152204,33450,18416,13
8047,12994,8124,7010,160716,32303,19000,11
8103,13039,8156,7044,143130,31034,18640,8
7973,13006,8089,7102,156515,32689,20200,11
8243,13088,8162,7074,158687,32719,17566,5
8078,13071,8104,7134,168033,35275,18508,8
7514,13114,8119,6936,219428,34136,18221,10
7493,13118,8185,6990,162687,36965,18936,7
8660,13146,8243,6818,287050,33790,19115,10
9256,13186,8325,7022,309482,35249,19599,5
9427,13209,8276,7046,284267,35944,18427,3
9205,13244,8303,7102,277065,37796,19360,4
9199,13171,8292,6954,265836,41493,22761,8
9261,13300,8386,7038,243246,39562,20713,5
